500	1	2,548402	2,547472	2,559005	2,567052	2,547088	2,5538038	
500	2	2,555388	2,565341	2,609436	2,603794	2,598911	2,586574	0,0327702
500	3	2,538393	2,551217	2,568802	2,573868	2,570189	2,5604938	-0,0260802
500	4	2,546543	2,580537	2,556475	2,555308	2,56913	2,5615986	0,0011048
500	5	2,53832	2,538769	2,536053	2,537046	2,535016	2,5370408	-0,0245578
500	6	2,537611	2,541503	2,544173	2,543999	2,543159	2,542089	0,0050482
500	7	2,536928	2,5344	2,544994	2,541993	2,544982	2,5406594	-0,0014296
500	8	2,538054	2,546883	2,537868	2,542708	2,538069	2,5407164	0,000057
1000	1	20,273549	20,304579	20,36755	20,284867	20,37068	20,320245	
1000	2	20,517093	20,575858	20,548497	20,506393	20,499596	20,5294874	0,2092424
1000	3	20,308062	20,284448	20,467263	20,475267	20,371749	20,3813578	-0,1481296
1000	4	20,459811	20,430132	20,345531	20,518967	20,464573	20,4438028	0,062445
1000	5	20,350378	20,348752	20,35851	20,333945	20,336958	20,3457086	-0,0980942
1000	6	20,344829	20,342659	20,342093	20,333191	20,33898	20,3403504	-0,0053582
1000	7	20,355465	20,384447	20,351367	20,356137	20,341938	20,3578708	0,0175204
1000	8	20,352848	20,351621	20,348972	20,339744	20,353205	20,349278	-0,0085928
